timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1777162929512,15,GET /restaurants?q=ramen,200,OK,Restaurant Search Load Test 2-1,text,true,,587,137,2,4,http://localhost:8002/restaurants/?q=ramen,15,0,9
1777162929520,7,GET /restaurants?q=ramen,200,OK,Restaurant Search Load Test 2-2,text,true,,587,137,2,4,http://localhost:8002/restaurants/?q=ramen,7,0,1
1777162929574,3,GET /restaurants?q=ramen,200,OK,Restaurant Search Load Test 2-3,text,true,,587,137,1,5,http://localhost:8002/restaurants/?q=ramen,3,0,0
1777162929621,4,GET /restaurants?q=ramen,200,OK,Restaurant Search Load Test 2-4,text,true,,587,137,1,7,http://localhost:8002/restaurants/?q=ramen,4,0,0
1777162929673,4,GET /restaurants?q=ramen,200,OK,Restaurant Search Load Test 2-5,text,true,,587,137,1,9,http://localhost:8002/restaurants/?q=ramen,4,0,1
1777162929512,195,POST /auth/login,200,OK,Login Load Test 1-1,text,true,,316,249,5,10,http://localhost:8001/auth/login,195,0,9
1777162929512,197,Login for Token,200,OK,Review Submission Load Test 3-1,text,true,,316,249,5,9,http://localhost:8001/auth/login,197,0,9
1777162929711,2,POST /reviews/,201,Created,Review Submission Load Test 3-1,text,true,,380,440,5,9,http://localhost:8004/reviews/,2,0,0
1777162929717,3,GET /restaurants?q=ramen,200,OK,Restaurant Search Load Test 2-6,text,true,,587,137,1,9,http://localhost:8002/restaurants/?q=ramen,3,0,1
1777162929537,188,POST /auth/login,200,OK,Login Load Test 1-2,text,true,,316,249,4,8,http://localhost:8001/auth/login,188,0,0
1777162929544,185,Login for Token,200,OK,Review Submission Load Test 3-2,text,true,,316,249,4,7,http://localhost:8001/auth/login,185,0,0
1777162929730,2,POST /reviews/,201,Created,Review Submission Load Test 3-2,text,true,,380,440,4,7,http://localhost:8004/reviews/,2,0,0
1777162929772,4,GET /restaurants?q=ramen,200,OK,Restaurant Search Load Test 2-7,text,true,,587,137,1,9,http://localhost:8002/restaurants/?q=ramen,4,0,1
1777162929822,4,GET /restaurants?q=ramen,200,OK,Restaurant Search Load Test 2-8,text,true,,587,137,1,11,http://localhost:8002/restaurants/?q=ramen,3,0,0
1777162929872,2,GET /restaurants?q=ramen,200,OK,Restaurant Search Load Test 2-9,text,true,,587,137,1,13,http://localhost:8002/restaurants/?q=ramen,2,0,0
1777162929734,183,POST /auth/login,200,OK,Login Load Test 1-6,text,true,,316,250,7,14,http://localhost:8001/auth/login,183,0,0
1777162929921,3,GET /restaurants?q=ramen,200,OK,Restaurant Search Load Test 2-10,text,true,,587,137,1,14,http://localhost:8002/restaurants/?q=ramen,3,0,0
1777162929743,186,Login for Token,200,OK,Review Submission Load Test 3-6,text,true,,316,250,7,13,http://localhost:8001/auth/login,186,0,0
1777162929929,3,POST /reviews/,201,Created,Review Submission Load Test 3-6,text,true,,380,440,7,13,http://localhost:8004/reviews/,3,0,0
1777162929785,185,POST /auth/login,200,OK,Login Load Test 1-7,text,true,,316,250,7,15,http://localhost:8001/auth/login,185,0,0
1777162929969,3,GET /restaurants?q=ramen,200,OK,Restaurant Search Load Test 2-11,text,true,,587,137,1,14,http://localhost:8002/restaurants/?q=ramen,3,0,0
1777162930019,3,GET /restaurants?q=ramen,200,OK,Restaurant Search Load Test 2-12,text,true,,587,137,1,16,http://localhost:8002/restaurants/?q=ramen,3,0,1
1777162930069,4,GET /restaurants?q=ramen,200,OK,Restaurant Search Load Test 2-13,text,true,,587,137,1,18,http://localhost:8002/restaurants/?q=ramen,4,0,0
1777162929935,185,POST /auth/login,200,OK,Login Load Test 1-10,text,true,,316,250,9,20,http://localhost:8001/auth/login,185,0,0
1777162930120,3,GET /restaurants?q=ramen,200,OK,Restaurant Search Load Test 2-14,text,true,,587,137,1,19,http://localhost:8002/restaurants/?q=ramen,3,0,0
1777162929942,210,Login for Token,200,OK,Review Submission Load Test 3-10,text,true,,316,250,11,20,http://localhost:8001/auth/login,210,0,0
1777162930152,3,POST /reviews/,201,Created,Review Submission Load Test 3-10,text,true,,380,440,11,20,http://localhost:8004/reviews/,3,0,1
1777162930169,3,GET /restaurants?q=ramen,200,OK,Restaurant Search Load Test 2-15,text,true,,587,137,1,20,http://localhost:8002/restaurants/?q=ramen,3,0,0
1777162930219,3,GET /restaurants?q=ramen,200,OK,Restaurant Search Load Test 2-16,text,true,,587,137,1,22,http://localhost:8002/restaurants/?q=ramen,3,0,0
1777162930270,4,GET /restaurants?q=ramen,200,OK,Restaurant Search Load Test 2-17,text,true,,587,137,1,24,http://localhost:8002/restaurants/?q=ramen,4,0,0
1777162930320,4,GET /restaurants?q=ramen,200,OK,Restaurant Search Load Test 2-18,text,true,,587,137,1,26,http://localhost:8002/restaurants/?q=ramen,4,0,0
1777162930365,5,GET /restaurants?q=ramen,200,OK,Restaurant Search Load Test 2-19,text,true,,587,137,1,28,http://localhost:8002/restaurants/?q=ramen,5,0,1
1777162930419,4,GET /restaurants?q=ramen,200,OK,Restaurant Search Load Test 2-20,text,true,,587,137,1,30,http://localhost:8002/restaurants/?q=ramen,4,0,0
1777162929882,575,POST /auth/login,200,OK,Login Load Test 1-9,text,true,,316,250,15,31,http://localhost:8001/auth/login,575,0,0
1777162929843,614,Login for Token,200,OK,Review Submission Load Test 3-8,text,true,,316,250,16,31,http://localhost:8001/auth/login,614,0,0
1777162929893,565,Login for Token,200,OK,Review Submission Load Test 3-9,text,true,,316,250,16,30,http://localhost:8001/auth/login,565,0,0
1777162930458,4,POST /reviews/,201,Created,Review Submission Load Test 3-8,text,true,,380,440,16,30,http://localhost:8004/reviews/,4,0,0
1777162930459,3,POST /reviews/,201,Created,Review Submission Load Test 3-9,text,true,,380,440,15,29,http://localhost:8004/reviews/,3,0,0
1777162930465,3,GET /restaurants?q=ramen,200,OK,Restaurant Search Load Test 2-21,text,true,,587,137,1,29,http://localhost:8002/restaurants/?q=ramen,3,0,1
1777162930143,376,Login for Token,200,OK,Review Submission Load Test 3-14,text,true,,316,250,15,30,http://localhost:8001/auth/login,376,0,0
1777162930133,387,POST /auth/login,200,OK,Login Load Test 1-14,text,true,,316,250,15,31,http://localhost:8001/auth/login,387,0,1
1777162930520,2,POST /reviews/,201,Created,Review Submission Load Test 3-14,text,true,,380,440,15,30,http://localhost:8004/reviews/,2,0,0
1777162930520,2,GET /restaurants?q=ramen,200,OK,Restaurant Search Load Test 2-22,text,true,,587,137,1,30,http://localhost:8002/restaurants/?q=ramen,2,0,0
